sepal_length,sepal_width,petal_length,petal_width,species
2,0,2,2,Virginica
1,0,1,1,Versicolor
2,0,1,1,Versicolor
2,1,2,2,Virginica
0,1,0,0,Setosa
2,0,2,2,Virginica
2,1,2,2,Virginica
2,0,2,2,Virginica
0,1,0,0,Setosa
0,1,0,0,Setosa
0,1,0,0,Setosa
0,0,1,1,Versicolor
2,1,2,2,Virginica
1,0,1,1,Versicolor
2,1,1,1,Versicolor
1,0,1,1,Versicolor
0,1,0,0,Setosa
2,1,1,1,Versicolor
2,1,2,2,Virginica
0,1,0,0,Setosa
1,0,1,1,Versicolor
1,0,2,1,Virginica
0,1,0,0,Setosa
2,1,1,1,Versicolor
2,1,2,2,Virginica
0,1,0,0,Setosa
2,0,2,2,Virginica
2,0,1,1,Versicolor
2,0,2,2,Virginica
1,0,1,1,Versicolor
0,0,0,0,Setosa
1,0,1,1,Versicolor
1,0,1,1,Versicolor
0,1,0,0,Setosa
0,1,0,0,Setosa
2,0,2,2,Virginica
0,1,0,0,Setosa
0,0,0,0,Setosa
0,1,0,0,Setosa
1,0,1,1,Versicolor
0,1,0,0,Setosa
2,1,2,2,Virginica
0,0,0,0,Setosa
1,0,1,1,Versicolor
2,0,2,2,Virginica
2,1,1,1,Versicolor
0,0,0,0,Setosa
1,1,0,0,Setosa
0,1,0,0,Setosa
0,0,0,0,Setosa
0,1,0,0,Setosa
2,0,1,1,Versicolor
0,1,0,0,Setosa
1,0,1,1,Versicolor
0,1,0,0,Setosa
1,0,2,2,Virginica
2,1,2,2,Virginica
2,0,1,1,Versicolor
0,1,0,0,Setosa
0,1,0,0,Setosa
0,1,0,0,Setosa
1,0,1,1,Versicolor
1,0,2,1,Versicolor
1,0,1,1,Versicolor
2,0,2,2,Virginica
0,1,0,0,Setosa
1,0,1,1,Versicolor
2,0,2,2,Virginica
1,1,0,0,Setosa
0,1,0,0,Setosa
1,1,1,2,Versicolor
1,0,1,1,Versicolor
2,0,2,2,Virginica
1,0,1,1,Versicolor
0,0,0,0,Setosa
0,1,0,0,Setosa
0,0,1,1,Versicolor
0,0,0,0,Setosa
2,0,2,2,Virginica
0,1,0,0,Setosa
0,1,0,0,Setosa
2,1,2,2,Virginica
2,0,2,2,Virginica
1,0,1,1,Versicolor
0,1,0,0,Setosa
1,0,1,1,Versicolor
0,1,0,0,Setosa
2,0,1,1,Versicolor
1,0,1,1,Versicolor
0,1,0,0,Setosa
1,0,1,1,Versicolor
1,0,1,1,Versicolor
0,1,0,0,Setosa
2,0,2,2,Virginica
2,1,2,2,Virginica
1,1,1,1,Versicolor
2,0,2,2,Virginica
0,0,0,0,Setosa
2,1,2,2,Virginica
2,0,2,1,Virginica
1,0,1,1,Versicolor
2,0,1,1,Versicolor
2,1,1,1,Versicolor
0,1,0,0,Setosa
2,0,2,2,Virginica
0,1,0,0,Setosa
2,0,2,2,Virginica
0,1,0,0,Setosa
2,0,2,1,Versicolor
1,0,1,1,Versicolor
0,1,0,0,Setosa
0,1,0,0,Setosa
2,0,1,1,Versicolor
0,0,1,1,Versicolor
2,0,2,2,Virginica
0,0,1,1,Versicolor
1,1,0,0,Setosa
0,0,1,1,Versicolor
0,1,0,0,Setosa
1,0,1,1,Versicolor
1,0,1,1,Versicolor
0,1,0,0,Setosa
1,0,1,1,Versicolor
1,0,2,2,Virginica
2,1,2,2,Virginica
2,1,2,2,Virginica
1,0,2,2,Virginica
1,0,1,1,Versicolor
2,1,1,1,Versicolor
2,1,2,2,Virginica
1,0,1,1,Versicolor
